playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
ajXrM4MRpEmaP8h5S,yes,yes,neutral,Did not get a chance to play - a participant left,x,Wish I'd been able to play!,x
DE8LiqDxXyMDTs3K7,yes,yes,neutral,"Unfortunately I was unable to play the game since someone was disconnected, so my pay could have been higher, but I still think it was fair.",I was unable to play the game so N/A,n/a,N/A
HETvsnvE6HKdv5mER,yes,yes,neutral,"If I receive the base pay, then yes.","Someone disconnected at the start of this, so the study was immediately terminated for me. We never began chatting.","Yes, a partner disconnected at the very beginning, which terminated the study for all of us. Couldn't you just send other participants back to the lobby when this happens and pair them with someone else?",This study was terminated before I had a chance to participate.
GsXazheEWLkYZLQqv,yes,yes,stronglyAgree,Yeah it was a fun task and didn't take too long\nIf it took longer though with participants taking a long time then I would want more pay per hour,Very easy,Nope - was good fun!,Yes
ehFS23PQxCCDHHxyf,yes,no,agree,Yes,Yes,None,Not to chat also
WADiGpeAEgWDqGFda,yes,yes,neutral,Yes,Very - it would be helpful if you could see if your partners were typing. There were times were 2 players would claim the flower and click before the other had to time read that it was claimed.,NA,Plenty of Time!
7mbrv5hEFhfJjjB9e,yes,yes,stronglyAgree,Yes,Yes,No,Yes
fqKx97dXcBN6zt8gp,yes,no,stronglyAgree,"yes, any correct answers should be paid whatever is decided",yes a couple of times,no all seemed an interesting game,yes
Sz4iGenvGrCK8kEtT,yes,yes,stronglyAgree,yes,yes,nope!,more than enough
uxoyB5wDdjQuWKiq3,yes,yes,stronglyAgree,Yes.,Very easy to use.,No.,More than enough time.
ab6Htv2wyBH9h4u9G,yes,yes,stronglyAgree,yes until it crashed,yes,I was up to over 2$ extra when someone disconnected,plenty yes
EZhiHuDJHXZoSLhDe,yes,yes,agree,Yes.,I didn't attempt to use it as I felt pressured by the timer.,"Yes, I had a technical issue in one of the rounds. It didn't load and was just a blank white page. I went to message the researcher but thought I'd try refreshing in a new window and that worked. The other participants had used the chat feature while waiting on me.",Yes.
6tfvgNd3nKd8e8LPT,yes,yes,stronglyAgree,No - I do not like that I was disconnected in the final year!,"Yes, very.","I wish I wasn't disconnected in the final year, I felt my team mates and I were doing very well. Fun though!","Yes, definitely."
R2b3MuhDjL7XNdsbx,yes,yes,stronglyAgree,Yes,yes,no,yes
9spSSdtfY5HoAAzpA,yes,yes,stronglyAgree,"Yes, I felt the bonuses were good amounts and that I was fairly compensated for my time/efforts.","Yes, it felt like any standard chat box you'd find online.",No. All instructions were clear and easy to follow.,"Yes - we all seemed to make the decision quickly, and we never overlapped our choices."
cGXc9yZzKxhhprpcL,yes,no,stronglyAgree,yes.  everyone did the job correctly,yes,none  it was fun,yes
MA8mGcu88T7QesRGb,yes,yes,agree,NA,NA,NA,NA
5zTMxxhPBMzcECJ7s,yes,yes,neutral,I didn’t get to play :(,I didn’t get to play :(,NA,NA
78C7NB5i8EqKfRZpD,yes,yes,neutral,N/A,N/A,No problems found.,N/A
4B6Jh337dmfKfHQad,yes,no,neutral,"didnt let me play, study full","didnt let me play, study full","didnt let me play, study full","didnt let me play, study full"
a9uEd3jBBrfdy8Ecy,yes,yes,stronglyAgree,"Yes, it was fair but could be a bit more to conspete for people who just opened the link and reading the instruction.",I wasn't able to use them.,"The survey ended suddenly because of time, which I did not expect. A bit of a heads-up before I start the game would be really helpful! :)",I wasn't able to partake in the round.
XyoaZD2sgvPot8BT9,yes,yes,stronglyAgree,Yes.,Yes.,No.,Yes.
Hfg3rsfN9JC4LoySh,yes,yes,stronglyAgree,It felt fair,very easy,none,more than enough
2yjpexnFBBfEDFJ3y,yes,yes,agree,"Yes it seemed good, got fun after the first few","Yeah, it was straight forwards and easy","not really, well designed imo","definately, especially after we got into a groove"
LLD4Kq4pp6qMYpkhK,yes,no,neutral,Yes,Yrd,No,Yes
5mMzhKiwfTuooEoMa,yes,yes,stronglyAgree,Yes,Very easy,No,Yes more than enough time
gdE8d8jXh7DSEeNnd,yes,yes,agree,"yes, in all fairness because we all worked well and we all took some less paying than others",yes it was very easy to use,no other problems,yes there was pleanty of time in each round
XewWJxxCdCLzyRgWG,yes,yes,stronglyAgree,Fair to the challenge of the task.,Really easy and quick,NA,about double the time needing for the task
Xb5rMN2cFgGjbxf7u,yes,no,stronglyAgree,"Yes, I think so.","Yes, very easy.",No problems noticed. But I'm sure the people were not real.,"Yes, I did."
oYECv6JzgRe7cZhed,yes,yes,agree,Yes,Yes,No,Yes
Cedxcy29brA4XyuQg,yes,yes,neutral,yes,yes,no,yes
74Q6xEZFFjFbCdhJx,yes,yes,neutral,NA,NA,I could not participate because the game was full. I would have loved to really be part of it.,NA
3oP3ry5WPXEWtjziv,yes,yes,agree,yes,yes very easy,The images on the second part of the 'what would you name these flowers' survey didnt load,more than enough. Could have had less.
74CMffZm8pkMKRia5,yes,yes,stronglyAgree,yes,yes,no,yes
HLZmBivPnfQHifm9t,yes,yes,stronglyAgree,yes,yes,NA,yes
izmLcwXrsXSq6nwpJ,yes,yes,stronglyAgree,yes,yes,no,yes
9a3RZWKmQzYxBTRmz,yes,yes,agree,Yes.,Yes.,No.,Yes.
2ruAuHQnWCySezsmi,yes,no,neutral,Yes,Yes,No,Yes
nmm2hyv9AYG6w7cCp,yes,no,agree,yes,yes,no problems encountered (apart from my suspect typing).\nIt was fun to participate in.,yes
haZWty4SfPvBdgGNn,yes,yes,stronglyAgree,yes,yes,no,yes
yPx8LjAzWPZQ5NGD4,yes,yes,stronglyAgree,I feel I could have been paid more due to the time and energy the game took.,It was very easy to use and functional.,NA,I had plenty of time each round.
mrMd9iYfKZotcz63P,yes,yes,stronglyAgree,sure,yes,no,yes
bpnvpmrvZXqGa89qM,yes,yes,stronglyAgree,Yes.,"Yes, very easy to use.",No problems.,Plenty of time.
mJGPEhxg3qHnRydgL,yes,yes,stronglyAgree,Yes.,Yes.,No.,Yes.
6vNNiMpyWhbSTGmCR,yes,yes,stronglyAgree,Yes,Yes very easy,No,More than enough
vRDJh6RNsHgR3tH5C,yes,yes,stronglyAgree,not sure,yes,no,yes
4TdKbFkuKoYcCHE7b,yes,yes,stronglyAgree,yes it was easy,everything was easy and worked fine for me,no problems,"yes, plenty of time"
8HfZgpmQdSm6bb8bM,yes,yes,stronglyAgree,yes,yessss,"nope, pretty cool idea",yes more than enough
tk6apw87bnaMkYah8,yes,yes,agree,yes,yes,no,yes
k4zTGScYdBczyqge4,yes,yes,stronglyAgree,Yes,Yes,No,Yes
6GYogDyzMgS5YKpFZ,yes,no,agree,Yes,Yes,No,Yes
TQjzFB6NqifeBd5cA,yes,yes,stronglyAgree,Yes,very easy,the page doesn't refresh quickly sometimes,yes
Jo7ZLFA5xmcr4tBZW,yes,yes,agree,yes,yes,no,yes
8K8jPy4zqBZYgsaJ3,yes,yes,neutral,"I think the base pay might've been a little low based on how long it was estimated to take, but that makes sense when bonuses are offered. I think it's fair.","Neither of my teammates even tried to use chat, so we just started choosing immediately. Did not have opportunity to use chat because I didn't want to be the only slow one trying to talk. I went with the flow since they seemed like they were in a hurry...",NA,I think 3 minutes would've been enough if we had used chat. But we took less than 10 seconds each round.
MpPBPm6Gyk4sZrbRY,yes,no,stronglyAgree,"Absolutely, added up nicely towards the end.",Very straightforward.,"I felt aware they were likely bots, but this was due to the nature of being automatically connected to two people without any waiting at all. Had I not been connected immediately or knew I was doing a study I probably would have believed they were real people. Overall if they were bots they were quite impressive and nice bots.",Plenty of time to discuss and answer.
wtSBhqBLz3ijnMjLj,yes,yes,stronglyAgree,"Yes, because I felt it was easy to get the full bonus with some cooperation.","Yes, very easy and instant","No, the study was fun and makes a change from the usual types I do :)","Yes, especially in later rounds when we had established names for all flowers - the rounds were over much faster"
W3Whg9CMB9wNtyZkB,yes,no,disagree,Yes,Yes,No,Yes
zwuB3ao3QspeaA2eD,yes,yes,neutral,"Yes, but we only had one more round and could've gotten bonuses",yes,no,yes
ahwLmtGTF9WAq8rdp,yes,no,neutral,"yes although one ""disconnected"" and we didn't get to finish",yes,someone disconnected cutting the whole thing short,more than enough
kys9zXT9zHa6pEypR,yes,no,stronglyAgree,Yea,Yes,NA,Lots of time
TncGefKx9XhkFk7aK,yes,no,agree,Yes,Yes,No,Yes
98NJF6EwcCwbyK4MA,yes,yes,agree,NA,Yes just typed what you wanted and sent.,NA,Yes was quite a fair ample amount of time to send few messages and decide.
425v9mmHaSup5iuYh,yes,yes,stronglyAgree,Yes,Yes,No,Yes
bz4Q2BQpuYTFk5n2u,yes,no,stronglyAgree,yes i do,very easy,none,yes the time was fine
DRgJemWzF9CDA32LL,yes,yes,agree,Yes,Yes,No,Yes
9waRYy2SoaZTfkqhM,yes,yes,stronglyAgree,Yes :),really easy,"no, I really enjoyed it. I do wish I could have left a message at the end to thank the other players, as I didn't realise we were on the last round.","yes, though we cut it close on one round!"
u5LcFfL3AoyHPAkbi,yes,yes,stronglyAgree,Yes.,Yes.,No.,Yes.
