_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.feedback,data.time
2SDd4jdTSzbmGhjjC,jxedrgdKydEnbaBhQ,,2021-07-27T18:15:06Z,22,female,English,true,,,,,,someCollege,yes,yes,neutral,n/a,n/a,n/a
4nafAtMdiCpjsLZwW,jTPwrbxxweYSwK5Cu,,2021-07-27T18:15:10Z,21,female,English,true,true,,,,,someCollege,yes,no,neutral,,,
tinKXtTXdF8Qrqj5Q,dNXdwquyMtpih4mTz,,2021-07-27T18:15:11Z,25,m,english,,,true,,,,bachelor,yes,yes,stronglyAgree,yes,no,yes
RuExrAu2bR4TsauaR,YvTKK8mYmdWfcN2N7,,2021-07-27T18:15:31Z,28,male,english,true,,,,,,master,yes,yes,neutral,didnt get to play,didnt get to play,didnt get to play
QjtDt3MWaPpqoAFz9,YMS9PdQ3cJEQtxHEK,,2021-07-27T18:15:31Z,27,male,English,true,,,,,,bachelor,yes,yes,neutral,didnt get to play,didn't get to play,didn't get to play
biX3R3QrYTt9oKS3u,TntjcXtoGgsGFE2Yv,,2021-07-27T18:15:32Z,23,Female,English,true,,,,,,bachelor,yes,no,neutral,I did not get to play the game and was sent directly to the survey,I did not get to play the game and was sent directly to the survey,I did not get to play the game and was sent directly to the survey
7qswb88MDKCaigG4T,zeBxZg78kSF2fM5xk,,2021-07-27T18:15:43Z,32,female,english,true,,,,,,bachelor,yes,,,,"I wasn't able to play because the spots were filled, so I was sent to this page.",
NHBBg4RyHoBWg8Jgn,bCYz4EkpfBT2r3Ppg,,2021-07-27T18:15:45Z,38,female,english,true,,,,,,master,yes,,,,"did get to play the game, timed out too fast",
YwDP6uwMTvMikdhu2,CRTm3ZghDEmdXfsXt,,2021-07-27T18:15:50Z,24,F,English,true,,,,,,someCollege,yes,no,neutral,N/A,did not get to participate,N/A
JDZDvQFHKdaPgMDe8,WPQcqucyaTGu8AS8C,,2021-07-27T18:16:04Z,20,Female,English,true,,,,,,highSchool,yes,yes,neutral,I did not get to play,Couldn't participate,I didn't have enough time to read instructions
a4vJiitrqmmzwuvEu,szhqwvimYitf5WjQP,,2021-07-27T18:16:08Z,38,male,english,true,,,,,,master,yes,yes,agree,yeahi think it was fair,,i think so
eS6ix4ToyR8bLvPkT,927hEFhenegNpNsAL,,2021-07-27T18:16:13Z,22,Female,English,true,,,,,,someCollege,yes,yes,neutral,I didn't get to do the activity so base pay is certainly fair.,no,didn't participate
gEg9FmKkwXbqF5XBP,C5Pjbh7WsNPTL2Zjj,,2021-07-27T18:17:15Z,19,male ,English ,true,,,,,,bachelor,yes,yes,agree,yes,it timed out ,yes
hn2tuDpAd6ihmkfC2,7HtytSJTDSBpTjaKH,bfkwKFJHE44AkQaWn,2021-07-27T18:27:03Z,25,male,english,,,true,,,,bachelor,yes,no,agree,Yes,No,Plenty
kEdz4xsywcCSzbirr,gKpY28vekLf5eSpXv,bfkwKFJHE44AkQaWn,2021-07-27T18:27:03Z,21,female,English,true,true,,,,,someCollege,yes,no,stronglyAgree,yes,no problems,yes
KH5sq38fFnsPMz7KL,NJ8HW4GSmaxgEcnGu,bfkwKFJHE44AkQaWn,2021-07-27T18:27:15Z,22,female,English,true,,,,,,someCollege,yes,no,neutral,No I was forced to always click the lowest or we won't make any money,n/a,more than enough. only needed 10 seconds
hS368pGcdcdKSKt6d,AGfvxRLPSPqWmCrHm,i3n3urioeG2JtJNsP,2021-07-27T18:28:17Z,22,Female,English,true,,,,,,someCollege,yes,no,agree,Yes it was fair,nope,yes there was plenty of time
T4rDCBoduPy3jeB3Q,ACvXWPDuG8unQyFkQ,i3n3urioeG2JtJNsP,2021-07-27T18:28:41Z,23,Female,English,true,,,,,,someCollege,yes,yes,agree,I felt it was fair as you couldn't determine what flower your partners would have picked.,I thought this was an interesting and interactive study and wish to do more similar to this in the future!,I felt I had plenty of time to pick a flower each round.
Rp686DNcegvvESy9F,dcJqwJm6ocXarHGBK,PyBw9P8PCeMfakMTf,2021-07-27T18:31:06Z,40,Male,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes, I believe that it was",No problems,Yes I do
aqfb8ndCSDSBnAwsh,cyKCepXszBZDraTkn,PyBw9P8PCeMfakMTf,2021-07-27T18:31:11Z,24,F,English,true,,,,,,someCollege,yes,yes,agree,sure,no,yes
izrBHs6x6woSKXCu3,XNg2M7hMBBf8C5Da9,i3n3urioeG2JtJNsP,2021-07-27T18:31:13Z,28,male,english,true,,,,,,master,yes,yes,disagree,I won pretty much every round so not really on the other players,I was much quicker than the other two players. They gave up going for the highest scoring flower as they knew id get there first and spent most of the game trying against each other for 2nd highest bonus scoring flower. im not sure if this counts as teamwork,more than enough i was able to decide very quickly on which flower to choose 
7KRKAAJbZkDBJBRqm,FF7yDoD2WztvWBJXR,o44q8DFNvHdsMxSkA,2021-07-27T18:31:33Z,26,Female,English,true,,,,,,master,yes,no,neutral,,No - the directions were extremely confusing though.,Yes
udpHWaj9ydWeojnt4,ssKD7MAzdrtv5fFGH,o44q8DFNvHdsMxSkA,2021-07-27T18:31:39Z,27,male,english,true,,,,,,bachelor,yes,yes,neutral,yes,None,yes
NB3AYY7j89odBwoQH,X23NKx97hSCWAR5Cv,o44q8DFNvHdsMxSkA,2021-07-27T18:31:45Z,23,non binary,english,true,,,,,,someCollege,yes,yes,agree,yes,,way more than enough. 10-20 seconds would have been more than enough.
AH9EgF9jXnD9x3Nsy,ahaxbS8aTaoyPA7sF,,2021-07-27T18:32:00Z,72,male,english,true,,,,,,bachelor,yes,no,neutral,yes,no,yes
9ZNykq9ukt9yArq6N,FeRinagbznWpNiqxj,PyBw9P8PCeMfakMTf,2021-07-27T18:32:09Z,20,Female,English,true,,,,,,highSchool,yes,yes,disagree,"No, one player kept choosing the flower with the highest bar so I could not also choose that flower",The instructions weren't clear or easy to follow,More than enough
HCWkBqRuvEt8mfRkd,3QDnigJq3aDDNdvJM,3ARnBNQipsY5gyTFb,2021-07-27T18:34:02Z,29,Male,English,true,,,,,,master,yes,yes,agree,Yes,No,Yes
PWqH5guZDe5zSskq5,JJQQSQYsqpD2D87Pa,3ARnBNQipsY5gyTFb,2021-07-27T18:34:35Z,18,Female,English,true,,,,,,highSchool,yes,no,agree,Yes ,No problems ,More time than needed 
5jbpCqDgjPPpKY8n7,dnB9hbBA6dmZago9h,3ARnBNQipsY5gyTFb,2021-07-27T18:34:53Z,24,Female,English,true,,,,,,master,yes,no,stronglyAgree,Yes.,"I, personally, think it was an algorithim that determined my partners answers. I noticed that after a while it seemed to be consistent that the green player would select the highest profit flower, the other would select the second highest, and id select the third highest profit flower. Although I suppose real players could have done this, im leaning towards algorithim.","Yes, more than enough."
czbDrRujrozD2mbun,3Nnn8occqoCGmgaNs,L5HEFdahZKeBJJG2F,2021-07-27T18:34:58Z,41,Male,English,true,,,,,,bachelor,yes,yes,disagree,Yes,No,Yes
m5xZsMcfLWGCRAMYq,nK4mWHYFhSGTrNjR4,L5HEFdahZKeBJJG2F,2021-07-27T18:35:01Z,26,Male,English,true,,,,,,bachelor,yes,no,agree,Yes,None,More than enough
YpS8FpigCfmioxRTk,fjmDxSzZK8TzeuqET,L5HEFdahZKeBJJG2F,2021-07-27T18:35:42Z,20,Female,English,true,,,,,,someCollege,yes,yes,disagree,"No, one participant picked the highest paying flowers every time, whereas myself and the other were picking the slightly lower paid ones in order to get the full pay. ",No,Yes
6uwcRSxS48XKMLy3P,DagJhXaG5grTvAFXB,SBAjPx7Rx8udYicPJ,2021-07-27T18:38:20Z,26,Female,English,true,,,,,,bachelor,yes,yes,agree,Yes,,Yes
sMmsCHYX5sdCWvyXp,mnCtNTkwCbKKBgDyK,SBAjPx7Rx8udYicPJ,2021-07-27T18:38:32Z,19,male ,English ,true,,,,,,bachelor,yes,no,disagree,yes,"no, it went well ",yes
wK3ikx29M9qCfx3M5,QGAj2LgJHqkpa4fdu,NLiD4cCfrFssACEda,2021-07-27T18:38:45Z,39,male,English,true,,,,,,someCollege,yes,yes,agree,yes,no everything worked fine,yes more than enough time
NQFgZs2RHM9XB2CaW,4nGB9WDLQmfuwb6YD,SBAjPx7Rx8udYicPJ,2021-07-27T18:38:46Z,46,female,English,true,,,,,,bachelor,yes,no,neutral,Yes I believed so,No,Yes
FmJ6JmbxeLAJij6ae,BL94px5JToAxFxBsF,NLiD4cCfrFssACEda,2021-07-27T18:38:58Z,32,Male,English,true,,true,,,,bachelor,yes,yes,neutral,Yes including the bonus it was fair for the time and effort.,"Only that if you had to go back through the instructions, you had to re-answer the quiz questions you already answered beforehand.","Yes, more than enough time."
kApFMNygZnbrxJFFc,3gwzGNe8M9GMt7epn,NLiD4cCfrFssACEda,2021-07-27T18:39:10Z,38,male,english,true,,,,,,master,yes,yes,agree,yes it was fair,,yes 
oJ99Ca4smScrEu535,5uvD5i3LMJuJoEz85,PaNhuvm5K5HTTudA7,2021-07-27T18:39:15Z,32,female,english,true,,,,,,bachelor,yes,yes,agree,yes,no,yes
nYeA8qZH8sxg8k8i3,TrhaJ3nKf55WBJNzE,PaNhuvm5K5HTTudA7,2021-07-27T18:39:18Z,29,female,english,true,,,,,,someCollege,yes,yes,agree,yes,no,yes
73GuqaNQxuvbT2y2t,2ETdHoh7pz3ZoH5cg,PaNhuvm5K5HTTudA7,2021-07-27T18:39:30Z,34,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,none,plenty of time allowed
T64tmfvbmgFdq7STX,i64AT2oevqwrzA7mZ,,2021-07-27T18:39:47Z,21,Female,English,true,,,,,,someCollege,yes,no,stronglyAgree,N/A,I did not actually get to participate,N/A
nioH97RJxobBRfmLN,uoJcbeaThNQCPvSpi,,2021-07-27T18:39:54Z,23,Female,English,true,,,,,,bachelor,yes,no,agree,,,
ezXK4XqYXtmjXLawn,ZPtPsfG9bpRjWQtdt,tciKbfsgnrrnfwS5Q,2021-07-27T18:41:03Z,23,female,english,true,,,,,,bachelor,yes,no,agree,Yes,No,Yes
Zd5acY6tnikRbikjA,gPopSHDsdxceEWdgN,tciKbfsgnrrnfwS5Q,2021-07-27T18:41:23Z,22,Female,English,true,,,,,,master,yes,yes,disagree,Yes,No,Yes
YxJGiwsHp49W2uuf8,2gePatCAmSHf5wAEo,tciKbfsgnrrnfwS5Q,2021-07-27T18:41:47Z,18,Male,English UK,true,,,,,,highSchool,yes,no,stronglyDisagree,Yes.,No issues.,Plenty.  All decisions could have been made much more swiftly than the given 3m.
XTCwMwemefDxpD7gy,Ct3tvnrT3vjFiAAZp,5cuzXsr8GDfGS2PAd,2021-07-27T18:42:29Z,36,Female,English,true,,,,,,highSchool,yes,yes,neutral,"I think so, I haven't really done anything like this before so not too sure",No problems,"Yes, plenty"
eA3Wt4h2YDX2Av7N9,Wa5SNCA5chnAjYHo3,5cuzXsr8GDfGS2PAd,2021-07-27T18:42:35Z,33,male,English,true,,,,,,bachelor,yes,yes,agree,yes,none,yes
csSN95D3ku5LrGCKE,AijusZp42hwZhYXfD,5cuzXsr8GDfGS2PAd,2021-07-27T18:43:13Z,51,Female,English,true,,,,,,bachelor,yes,yes,agree,Yes of course.,No problems.,Yes but only just.
59CiirHvjd73sG29c,JJWZgZf9xBvSQ8DZQ,62kBPLxqB2xDPjTTQ,2021-07-27T18:45:17Z,29,male,English,,,true,,,,bachelor,yes,yes,disagree,yes,no,yes
FLcwvkhKLWfzDC7io,q4ZcEetwp9t2qZE2Q,62kBPLxqB2xDPjTTQ,2021-07-27T18:45:48Z,28,Female,English,true,,,,,,highSchool,yes,yes,agree,Yes,No,Yes
keGmsykpPYXKMpmta,EPnjNN6rFpfvdrp9b,GBp4bbztMb7EEkZfH,2021-07-27T18:46:38Z,52,f,english,true,,,,,,bachelor,yes,no,agree,I don't know - i'd have to see what the other players got? Like the one one who picked the best one each time? ,no,yes 
q7S7JTDAYmaJSFREE,pmnDPayuwJQdJezbA,GBp4bbztMb7EEkZfH,2021-07-27T18:46:48Z,19,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes,No,"Yes, I feel like I had more than enough time."
2uHngh9vb3ku4mPEt,zatuS6z5cDPt47D5e,GBp4bbztMb7EEkZfH,2021-07-27T18:46:50Z,66,female,English,true,,,,,,highSchool,yes,no,agree,Yes,No,Yes
rwGdcNom6iuJ2tqSz,JrpFnwF4dWo3Rb5cx,S9Cjky6meXRaSwFb4,2021-07-27T18:46:51Z,18,female,English,true,,,,,,someCollege,yes,yes,agree,yes,no,"yes, way more than enough"
rPR26ezTRmMCzLkdj,3zDwavPGJLfxQYj7D,62kBPLxqB2xDPjTTQ,2021-07-27T18:46:59Z,32,male,English,,true,,,,,master,yes,yes,stronglyAgree,yes the pay was fair,everything went well,i feel the timing was okay
HcPrrenjcWAJm3v63,iK5czcuwZE8ddiFkC,S9Cjky6meXRaSwFb4,2021-07-27T18:47:08Z,30,male,english,,true,,,,,bachelor,yes,yes,neutral,yes,no,yes
wayczg79wHSnm89K3,hXQA6kRgWXggaQP6i,S9Cjky6meXRaSwFb4,2021-07-27T18:47:54Z,33,MALE,ENGLISH,true,,,,,,highSchool,yes,yes,agree,Yes. If multiple participants selected the same flower then the bonus payment was lower. If only one participant selected a flower then the bonus was full.,One participant seemed to be viewing the same information as myself. One participant was always slower selecting their flower than myself and the other participant.,More than enough time.
pGbcs5oYQ2FvAeJXA,H8trtyCkdaBfK9R8Z,,2021-07-27T18:50:19Z,32,female,english,true,,,,,,bachelor,yes,yes,,,I was not able to play the game because the spots were filled.,
CXNJAKvgDshhai3Q2,Fev77TGS2MJPEB6J4,6bpmo388dqDN4EKwu,2021-07-27T19:02:33Z,24,Female,English,true,,,,,,master,yes,no,agree,Yes,No,Yes plenty
teLyCNfu9LXCoW9qj,pP5TfYNHLi7Zh7Zpt,6bpmo388dqDN4EKwu,2021-07-27T19:02:36Z,23,Female,English,true,,,,,,bachelor,yes,yes,agree,Yes very fair for the level of work that was required.,No issues to report.,"Yes plenty of time, maybe too much."
crrhiseQitq32KoQJ,Trk2GHzC5BndMnEWK,6bpmo388dqDN4EKwu,2021-07-27T19:02:56Z,19,Male,English,true,,,,,,someCollege,yes,no,neutral,Yes,"No, and I thought this study was awesome and fun. It was unlike any other study I'd ever done.",Yes
